START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
2016-12-29 15:05,2016-12-29 15:16,Business,Kar?chi,Kar?chi,1.3,Errand/Supplies
2016-12-29 18:59,2016-12-29 19:14,Business,Kar?chi,Unknown Location,3,Meal/Entertain
2016-12-29 19:50,2016-12-29 20:10,Business,Unknown Location,Kar?chi,4.1,Customer Visit
2016-12-29 20:15,2016-12-29 20:45,Business,Kar?chi,Kar?chi,7.2,Meeting
2016-12-29 20:53,2016-12-29 21:42,Business,Kar?chi,Unknown Location,6.4,
2016-12-29 23:14,2016-12-29 23:47,Business,Unknown Location,Kar?chi,12.9,Meeting
2016-12-30 10:15,2016-12-30 10:33,Business,Kar?chi,Kar?chi,2.8,Errand/Supplies
2016-12-30 11:31,2016-12-30 11:56,Business,Kar?chi,Kar?chi,2.9,Errand/Supplies
2016-12-30 15:41,2016-12-30 16:03,Business,Kar?chi,Kar?chi,4.6,Errand/Supplies
2016-12-30 16:45,2016-12-30 17:08,Business,Kar?chi,Kar?chi,4.6,Meeting
2016-12-30 23:06,2016-12-30 23:10,Business,Kar?chi,Kar?chi,0.8,Customer Visit
2016-12-31 1:07,2016-12-31 1:14,Business,Kar?chi,Kar?chi,0.7,Meeting
2016-12-31 13:24,2016-12-31 13:42,Business,Kar?chi,Unknown Location,3.9,Temporary Site
2016-12-31 15:03,2016-12-31 15:38,Business,Unknown Location,Unknown Location,16.2,Meeting
2016-12-31 21:32,2016-12-31 21:50,Business,Katunayake,Gampaha,6.4,Temporary Site
2016-12-31 22:08,2016-12-31 23:51,Business,Gampaha,Ilukwatta,48.2,Temporary Site
Totals,,,,,12204.7,
